timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719926490743,259,Request 116 Shelli Baida SBAIDA 515.127.4563 24-DEC-05 PU_CLERK 2900  -   114 30,,,Thread Group 1-26,text,true,,0,0,14,14,null,0,0,0
1719926490873,132,Request 123 Shanta Vollman SVOLLMAN 650.123.4234 10-OCT-05 ST_MAN 6500  -   100 50,,,Thread Group 1-33,text,true,,0,0,14,14,null,0,0,0
1719926490761,276,Request 117 Sigal Tobias STOBIAS 515.127.4564 24-JUL-05 PU_CLERK 2800  -   114 30,,,Thread Group 1-27,text,true,,0,0,14,14,null,0,0,0
1719926490892,152,Request 124 Kevin Mourgos KMOURGOS 650.123.5234 16-NOV-07 ST_MAN 5800  -   100 50,,,Thread Group 1-34,text,true,,0,0,14,14,null,0,0,0
1719926490894,154,Request 125 Julia Nayer JNAYER 650.124.1214 16-JUL-05 ST_CLERK 3200  -   120 50,,,Thread Group 1-35,text,true,,0,0,13,13,null,0,0,0
1719926490781,295,Request 118 Guy Himuro GHIMURO 515.127.4565 15-NOV-06 PU_CLERK 2600  -   114 30,,,Thread Group 1-28,text,true,,0,0,13,13,null,0,0,0
1719926490912,173,Request 126 Irene Mikkilineni IMIKKILI 650.124.1224 28-SEP-06 ST_CLERK 2700  -   120 50,,,Thread Group 1-36,text,true,,0,0,13,13,null,0,0,0
1719926490798,312,Request 119 Karen Colmenares KCOLMENA 515.127.4566 10-AUG-07 PU_CLERK 2500  -   114 30,,,Thread Group 1-29,text,true,,0,0,13,13,null,0,0,0
1719926490929,188,Request 127 James Landry JLANDRY 650.124.1334 14-JAN-07 ST_CLERK 2400  -   120 50,,,Thread Group 1-37,text,true,,0,0,13,13,null,0,0,0
1719926490817,331,Request 120 Matthew Weiss MWEISS 650.123.1234 18-JUL-04 ST_MAN 8000  -   100 50,,,Thread Group 1-30,text,true,,0,0,13,13,null,0,0,0
1719926490948,207,Request 128 Steven Markle SMARKLE 650.124.1434 08-MAR-08 ST_CLERK 2200  -   120 50,,,Thread Group 1-38,text,true,,0,0,13,13,null,0,0,0
1719926490836,351,Request 121 Adam Fripp AFRIPP 650.123.2234 10-APR-05 ST_MAN 8200  -   100 50,,,Thread Group 1-31,text,true,,0,0,13,13,null,0,0,0
1719926490968,228,Request 129 Laura Bissot LBISSOT 650.124.5234 20-AUG-05 ST_CLERK 3300  -   121 50,,,Thread Group 1-39,text,true,,0,0,12,12,null,0,0,0
1719926491115,120,Request 137 Renske Ladwig RLADWIG 650.121.1234 14-JUL-03 ST_CLERK 3600  -   123 50,,,Thread Group 1-47,text,true,,0,0,11,11,null,0,0,0
1719926490988,249,Request 130 Mozhe Atkinson MATKINSO 650.124.6234 30-OCT-05 ST_CLERK 2800  -   121 50,,,Thread Group 1-40,text,true,,0,0,10,10,null,0,0,0
1719926491004,263,Request 131 James Marlow JAMRLOW 650.124.7234 16-FEB-05 ST_CLERK 2500  -   121 50,,,Thread Group 1-41,text,true,,0,0,9,9,null,0,0,0
1719926491132,138,Request 138 Stephen Stiles SSTILES 650.121.2034 26-OCT-05 ST_CLERK 3200  -   123 50,,,Thread Group 1-48,text,true,,0,0,8,8,null,0,0,0
1719926491151,155,Request 139 John Seo JSEO 650.121.2019 12-FEB-06 ST_CLERK 2700  -   123 50,,,Thread Group 1-49,text,true,,0,0,7,7,null,0,0,0
1719926491024,285,Request 132 TJ Olson TJOLSON 650.124.8234 10-APR-07 ST_CLERK 2100  -   121 50,,,Thread Group 1-42,text,true,,0,0,6,6,null,0,0,0
1719926491040,300,Request 133 Jason Mallin JMALLIN 650.127.1934 14-JUN-04 ST_CLERK 3300  -   122 50,,,Thread Group 1-43,text,true,,0,0,5,5,null,0,0,0
1719926491171,177,Request 140 Joshua Patel JPATEL 650.121.1834 06-APR-06 ST_CLERK 2500  -   123 50,,,Thread Group 1-50,text,true,,0,0,4,4,null,0,0,0
1719926491060,320,Request 134 Michael Rogers MROGERS 650.127.1834 26-AUG-06 ST_CLERK 2900  -   122 50,,,Thread Group 1-44,text,true,,0,0,3,3,null,0,0,0
1719926491078,338,Request 135 Ki Gee KGEE 650.127.1734 12-DEC-07 ST_CLERK 2400  -   122 50,,,Thread Group 1-45,text,true,,0,0,2,2,null,0,0,0
1719926491095,355,Request 136 Hazel Philtanker HPHILTAN 650.127.1634 06-FEB-08 ST_CLERK 2200  -   122 50,,,Thread Group 1-46,text,true,,0,0,1,1,null,0,0,0
